
[SHEET: Clarifications]
NR | Publish date | QUESTION | RESPONSE
1 | 2026-08-05 00:00:00 | The Find a Tender notice states the budget is £78,000 ex VAT. Please can you confirm this is the correct budget? | Please note that there is an error in the notice: it is 65000 +VAT (78000 including VAT)
2 | 2026-08-05 00:00:00 | Response template. Can you confirm that the word limit is 500 words in all sections and that this word limit will be applied in selection? | There is some flexibility, but a hard stop at 1000 words
3 | 2026-08-05 00:00:00 | The RfP reads as though the British Council is looking for a more or less full time consultant for a year to work alongside in-house teams. Is that true or is this more of a traditional external consulting project with most likely a multi-person team? | We're open to both kind of proposals. 
4 | 2026-08-20 00:00:00 | Could you please advise if there is a word limit for the "Methodology and Approach" section, (MA01)? | Please, limit the response to max 1000 words
5 | 2026-08-24 00:00:00 | Clarification regarding Annex 3 – Pricing Approach.
The bidder instructions state that suppliers should complete both the “Requirements Costs” tab and the “Rate Card and Resources” tab, and also refer to the “Travel & Subsistence” tab.
However, in the Annex 3 pricing workbook available to me, I can see the Requirements Costs section, but I cannot locate the Rate Card and Resources tab.
Could you please confirm whether the Rate Card and Resources tab is included in the version of Annex 3 that bidders are expected to complete, and if so, could you please provide the relevant tab/workbook? | This is an error in the Pricing Approach, as in I forgot to delete the instructions related to the tabs you mention. There are no such tabs, the pricing approach is "as is".
Price should incluide everything
6 | 2026-08-25 00:00:00 | Question 1
The specification asks us to evidence returns "to the UK" and to maximise "fiscal and soft power returns," while also requiring understanding of ODA frameworks and "measuring economic welfare in low- to middle-income countries." These point at different beneficiaries and would require different methodologies.
Could you confirm which of the following is the primary objective:
(a) Value the return to the UK (exchequer, UK creative economy, and soft-power/influence) or
(b) Value the economic welfare generated in the artists' home/partner economies as the primary quantity, with UK return secondary.
If both are in scope, could you indicate which takes priority? | Both are in scope but a should take priority.
7 | 2026-08-25 00:00:00 | The specification frames the object of valuation in more than one way. It refers to:
• the four named commissions (Argentina, China, Senegal, UK)
• the wider 'international art and technology sector', described globally and going beyond the four commission hosts,
• and, via the requirements for additionality, market-failure and counterfactual analysis, and 'risks of non-intervention', the value of intervention in the sector.
Please could you confirm which is the intended valuation lens:
(a) A valuation of the four commissions as worked case studies, plus a transferable methodology/framework that can be extended to other countries
(b) A global, sector-level economic valuation (inc methodology) as the headline output, with the four commissions used as illustrative inputs.
(c) A valuation of returns on investment / intervention in this sector (inc methodology) (evidenced by the commissions and/or other evidence) | The four commissions should be taken as case studies indicative of the wider art-tech sector. So either a or b.
8 | 2026-09-03 00:00:00 | Would you accept cover levels of £5 million each for PI, PL and EL? | I cannot give a definitive number, because it depends on the risk the business considers acceptable, but I can definitely say that we are open to discuss and adjust the insurance levels
9 | 2026-09-03 00:00:00 | Schedule 1 of Annex 1 requires £10m Professional Indemnity insurance. Can the British Council confirm whether this level is mandatory for this commission, or whether a lower level proportionate to contract value and risk would be accepted | Same answer as above
10 | 2026-09-03 00:00:00 | Can the British Council provide a summary of the quantitative and qualitative data already available for the four artist innovation commissions, including budgets, delivery data, partner evidence, follow-on investment, IP/technology developement and audience/participant data?  | The four commissions are currently still underway. The grants for each of the four commissions was around £100k-120k.
11 | 2026-09-03 00:00:00 | For the counterfactual analysis, does the British Council expect formal econometric or quasi-experimental analysis, or would a Green Book-aligned constructed counterfactual and additionality assessment be acceptable given the nature and scale of the commissions?  | The latter: formal econometric analysis, not Green Book-adjacent.
12 | 2026-09-03 00:00:00 | Beyond the four commissions, does the British Council expect the supplier to undertake original primary research across the wider international Art and Tech sector, or primarily to draw on existing evidence, comparator programmes and funding data  | The latter. As we stated in the brief, the four commissions are to be viewed as case studies. We would like to understand what the value of our work, supporting the art and tech sector.
13 | 2026-09-03 00:00:00 | Will the successful supplier be given access at mobilisation to the British Council’s existing prosperity framework, Return on Influence measures and relevant FCDO monitoring and evaluation frameworks referenced in the specification?  | Yes.
14 | 2026-09-03 00:00:00 | Should bidders assume that engagement with international artists and partners can be conducted remotely unless otherwise agreed, or should provision for international travel be included within the fixed price? | We would expect engagement to be remote
15 |  | Who are the principal intended users of the Economic Valuation Toolkit after completion: the Digital Innovation in the Arts team, wider British Council Arts teams, corporate M&E colleagues, or external partners? Should the toolkit be designed for independent use by non-economists? | Everyone across the British Council and yes re: non-economists
16 | 2026-09-03 00:00:00 | Should the Gap Analysis & Investment Framework primarily inform future British Council commissioning decisions, or is it also expected to provide recommendations for wider UK public investment in the Art and Tech sector? | The former
17 |  |  | 
[END SHEET: Clarifications, 18 rows]


[SHEET: Categories]
Material groups |  | MG Category | MG Name 2 | Material number  | MG Name 1 | Material name  | Material Group / Material Group Description |  | Name | Range Address
Administrative temps |  | ADVERTISING | ADV: Newspaper, magazine, advertising costs | 8210150400 | Newspaper adverts | Newspaper adverts | Purchase of e.g. newspaper, magazine advertising; Trade or service directory or yellow page advertising. |  | Please Select | 
Advertising agencies |  | ADVERTISING | ADV: Advertising in means of transport | 8210150600 | Transit advertising | Transit advertising | Purchase of advertising in means of transport: underground, bus, taxi. |  | Advertising | F2:F7
Annual filing fees |  | ADVERTISING | ADV: Radio advertising, licence to broadcast | 8210160100 | Radio advertising | Radio advertising | Purchase of radio advertising, licence to broadcast. |  | Arts_and_Leisure | F8:F19
Archiving services |  | ADVERTISING | ADV: Advertising agencies service charge | 8210180000 | Advertising agencies | Advertising agencies | Advertising services and campaign services excluding direct cost of placing adverts on e.g. internet, radio, TV, newspaper, billboard. |  | Buildings | F20:F32
Art design services |  | ADVERTISING | ADV: Billboard, poster advertising costs | 8210150100 | Billboard adverts | Billboard adverts | Purchase of billboard, banner or poster advertising. |  | Catering | F33:F35
Article writers |  | ADVERTISING | ADV: Television adverts, licence to broadcast | 8210160200 | Television adverts | Television adverts | Purchase of television adverts, licence to broadcast. |  | Education_and_Development | F36:F58
Arts Professional |  | ARTS&LEISURE | ART: Photographic, Filming or Video Equip | 4512000000 | Photo,Filming,Video  | Photo,Filming,Video | Photographic, or filming, or video equipment including maintenance and accessories. E.g. cameras and accessories; film processing equipment; photographic enlargers; photo cutters or trimmers; film and video tapes; photographic and recording media film making supplies; video editing supplies. For photo, film, video services use 82130000. |  | Events | F59:F68
AuC: Furniture&Equip |  | ARTS&LEISURE | ART: Translation of articles, translator services | 8211000000 | Written translations | Written translations | Translation of articles and provision of translator services. |  | Facilities | F69:F72
AuC:IT Equipment |  | ARTS&LEISURE | ART: Speech writing services | 8211170500 | Speech writing | Speech writing | Speech writing service fee. |  | Health_and_Safety | F73:F77
AuC:Plant&Machinery |  | ARTS&LEISURE | ART: Sport & Recreation Equip, Supplies & Accessories | 4900000000 | Sports equipment | Sports equipment | Sports and recreation equipment, supplies and accessories; sport kits. |  | IT_Hardware | F78:F80
Audio visual equip |  | ARTS&LEISURE | ART: Written content or text for advertising etc. | 8211170400 | Copywriting services | Copywriting services | Providing written content or text for the purpose of advertising or marketing. Not purchase of copyrights (80121604). |  | IT_Services | F81:F87
Auditing services |  | ARTS&LEISURE | ART: Proofreading,copy editing, on-screen edits services | 8211180000 | Editorial & support | Editorial & support | Provision of proofreading, copy editing and on-screen editing plus hiring resources to carry out this work. |  | Marketing | F88:F95
Banking institutions |  | ARTS&LEISURE | ART: Art design Services | 8214150000 | Art design services | Art design services | Photocomposition, art display, Photographic or picture mounting or framing services. |  | Non_Influenceable | F96:F98
BC business cards |  | ARTS&LEISURE | ART: Photography, Filming & Video services | 8213000000 | Photo,Film,Video Srv | Photo,Film,Video Srv | Provision of services: photography, filming and video. For purchase of equipment use 45120000. |  | Office_Costs | F99:F120
BC premises rental |  | ARTS&LEISURE | ART: Article writers services | 8211170100 | Article writers | Article writers | Article writers' service fee. |  | Professional_Services_Consultancy | F121:F129
BC premises service |  | ARTS&LEISURE | ART: Book authors services | 8211170200 | Book authors | Book authors | Book authors' and poets service fee. |  | Professional_Services_Finance | F130:F141
BC stationery print |  | ARTS&LEISURE | ART: Prof. artists, designers, architects, performers servs | 8215170000 | Arts Professional | Arts Professional | Engagement or consultancy services given by a professional artists, designers, architects, visual artists, performers, etc. |  | Professional_Services_HR | F142:F151
Billboard adverts |  | ARTS&LEISURE | ART: Festival offices,theatre agency handling performers svc | 9013000000 | Performing arts agcy | Performing arts agcy | Generic activity conducted by entities such as festival offices or a theatrical agencies who handle individual performers. Not to be used for British Council direct engagements;  Live performances; Theatrical performances or plays; Dance performances. |  | Professional_Services_Insurance | F152:F160
Book authors |  | BUILDINGS | BLD: Generator repair & maintenance | 2600000100 | Power sources maint | Power sources maint | Power sources; generators' repair and maintenance services including replacement UPS batteries. |  | Professional_Services_Legal | F161:F165
Building architect |  | BUILDINGS | BLD: Purchase of generators & components | 2600000000 | Power sources | Power sources | Purchase of power sources, generators & components; electrical cables; If expenditure qualifies as a fixed asset follow the fixed asset PO process. |  | Professional_Services_Other | F166:F172
Building signage |  | BUILDINGS | BLD: Purchase of Heating, Air Con, Vent equipment | 4010000000 | Heating,Air Con,Vent | Heating,Air Con,Vent | Purchase of heating; air conditioning; ventilation equipment & components. If the equipment is above the capitalisation threshold then please follow the fixed asset PO process. |  | Residential | F173:F187
